Player,Player ID,Team,Games Played,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,AST,TO,W,L,W_PCT,MIN,OREB,DREB,REB,STL,BLK,AGE,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,PTS_RANK,HEIGHT,WEIGHT,EXP,SCHOOL,POSITION,PPG,PER
Paul George,202331,LAC,74,1671,582,1236,0.471,243,588,0.413,264,291,0.907,262,153,48,26,0.649,2501.766666666667,37,351,388,113,37,34.0,36,332,100,31,25,24,220,5,11,60,33,46,46,241,48,74,81,4,117,20,80.0,220,13,Fresno State,F,22.58108108108108,0.2272394174783153
Paul Reed,1630194,PHI,82,600,259,480,0.54,21,57,0.368,61,85,0.718,109,67,47,35,0.573,1589.5016666666668,193,295,488,67,84,24.0,45,461,222,175,163,184,88,316,325,201,210,207,365,14,73,41,206,80,18,184,81.0,210,3,DePaul,F,7.317073170731708,0.4664984098789872
Payton Pritchard,1630202,BOS,82,787,297,635,0.468,147,382,0.385,46,56,0.821,281,61,64,18,0.78,1825.7333333333333,70,195,265,39,6,26.0,1,215,23,136,142,133,226,62,66,139,252,260,172,121,168,150,71,218,370,143,73.0,195,3,Oregon,G,9.597560975609756,0.32151464251807493
Pete Nance,1631250,CLE,8,3,1,6,0.167,1,1,1.0,0,2,0.0,0,1,3,5,0.375,27.35,0,3,3,1,0,24.0,489,64,407,541,550,543,555,467,524,1,531,493,531,545,533,544,553,509,520,552,82.0,225,-1,North Carolina,F,0.375,-0.10968921389396709
Peyton Watson,1631212,DEN,80,532,208,447,0.465,45,152,0.296,71,106,0.67,86,58,56,24,0.7,1487.8366666666666,56,202,258,42,88,21.0,10,282,52,188,202,196,232,240,225,386,192,172,423,166,160,157,248,194,14,206,79.0,200,1,UCLA,G,6.65,0.22280671489478013
Precious Achiuwa,1630173,NYK,74,565,235,469,0.501,26,97,0.268,69,112,0.616,97,83,40,34,0.541,1623.7533333333333,191,296,487,46,68,24.0,110,446,275,171,179,190,137,296,271,424,196,162,461,17,72,43,228,168,32,193,80.0,243,3,Memphis,F,7.635135135135135,0.4036943213870744
Quentin Grimes,1629656,DET,51,359,122,328,0.372,81,240,0.338,34,45,0.756,66,28,32,19,0.627,1024.9433333333334,15,85,100,35,7,24.0,183,226,125,260,278,248,489,161,145,290,291,299,297,380,316,337,288,239,343,264,77.0,210,2,Houston,G,7.03921568627451,0.08439490963728076
Quenton Jackson,1631245,IND,3,2,0,1,0.0,0,0,0.0,2,2,1.0,2,0,3,0,1.0,10.533333333333333,0,4,4,1,0,25.0,489,1,1,556,561,565,561,498,541,498,487,493,1,545,523,535,532,509,520,557,77.0,173,1,Texas A&M,G,0.6666666666666666,0.8544303797468354
R.J. Hampton,1630181,MIA,8,10,4,14,0.286,1,8,0.125,1,2,0.5,8,3,3,5,0.375,76.02166666666666,2,4,6,0,0,23.0,489,64,407,492,527,525,543,467,450,484,509,493,494,507,523,524,466,539,520,535,,,-1,,,1.25,0.07892486791046413
RJ Barrett,1629628,TOR,58,1170,436,880,0.495,90,250,0.36,208,291,0.715,193,126,26,32,0.448,1838.1333333333334,53,262,315,31,22,23.0,241,425,357,133,66,71,160,139,133,224,54,46,368,176,92,111,120,259,193,71,78.0,214,4,Duke,F-G,20.17241379310345,0.199659074423328
RaiQuan Gray,1630564,SAS,3,23,10,17,0.588,3,7,0.429,0,0,0.0,6,1,2,1,0.667,39.03333333333333,2,5,7,1,1,24.0,511,14,76,531,487,513,51,423,459,34,531,538,531,507,517,514,478,509,478,498,79.0,269,1,Florida State,F,7.666666666666667,0.43552519214346713
